Number|Opened|Active|Short description|Caller|Priority|Description|State|Category|Assignment group|Assigned to|Updated|Updated by|Business resolve time|Business impact|Business duration|
INC0000001|2022-04-09 16:09:51|false|Can't read email|Fred Luddy|1 - Critical|User can't access email on mail.company.com.		|Closed|Network|Service Desk|Charlie Whitherspoon|2022-07-10 13:16:07|admin|1,892,781||21 Days 21 Hours 46 Minutes|
INC0000004|2022-04-16 15:49:22|false|Forgot email password|Fred Luddy|1 - Critical|User forgot their email password.|Closed|Inquiry / Help|Service Desk|Bud Richman|2022-07-10 13:16:24|admin|1,751,222||20 Days 6 Hours 27 Minutes|
INC0000009|2022-06-12 15:50:23|false|Reset my password||1 - Critical|I can't remember my password and need to log in. Can someone reset my password asap? I am blocked on several urgent items until I can log in again.|Closed|Inquiry / Help|Service Desk|David Loo|2022-10-27 02:34:26|admin|1,749,949||20 Days 6 Hours 5 Minutes|
INC0000013|2022-04-21 16:15:58|false|EMAIL is slow when an attachment is involved|Joe Employee|1 - Critical|Noticing today that any time I send an email with an attachment, it takes at least 20 seconds to send. This happens regardless of the attachment size.|Closed|Inquiry / Help|Software||2023-04-14 07:41:15|asureshmundhekar|1,661,930||19 Days 5 Hours 38 Minutes|
INC0000031|2022-03-14 17:18:03|false|Need help with Remedy. Can we configure UI?|Joe Employee|1 - Critical|Need to adjust layout of UI, add additional fields, and remove a few buttons. We are missing some critical fields that need to get added immediately.|Closed|Inquiry / Help|||2022-11-29 10:48:37|david.loo|5,334,517||61 Days 17 Hours 48 Minutes|
INC0000102|2022-04-03 07:09:13|false|Mass delete junk data from the users table in InsideSales Lead Management Pla...|Taylor Vreeland|1 - Critical|Mass delete junk data from the users table in InsideSales Lead Management Platform|Closed|Software|Sales Systems Support|Burton Brining|2022-08-01 01:46:16|admin|9,173||2 Hours 32 Minutes|
INC0000135|2022-04-03 21:48:20|false|Getting automatically logged out from SAP Payroll|SOAP Guest|1 - Critical|Getting automatically logged out from SAP Payroll|Closed|Software|SAP Support|Bertie Luby|2022-08-01 01:46:18|admin|3,431||57 Minutes|
INC0000140|2022-04-04 00:23:49|false|Please grant me additional roles in OpenText Web & Social Analytics|System Administrator|1 - Critical|Please grant me additional roles in OpenText Web & Social Analytics|Closed|Software|Technical Services Support|Angelique Schermerhorn|2022-08-01 01:46:18|admin|0||0 Seconds|
INC0000141|2022-04-04 01:13:25|false|Servers not starting - affecting OOYALA Video Content Management|John Bohnhamn|1 - Critical|Servers not starting - affecting OOYALA Video Content Management|Closed|Software|Marketing Operations|Alejandra Prenatt|2022-08-01 01:46:18|admin|3,441||57 Minutes|
INC0000144|2022-04-04 01:34:54|false|Unable to Access Oracle Taleo Succession Planning Service|Rob Phillips|1 - Critical|Unable to Access Oracle Taleo Succession Planning Service|Closed|Software|Oracle Support|Callie Leboeuf|2022-08-01 01:46:18|admin|3,444||57 Minutes|
